用户昵称,url_token,主页链接,一句话介绍,粉丝数,知乎总回答数,知乎总文章数,累计命中负面言论数,是否多帖持续攻击,全网历史攻击言论摘要
进击的清粉,wei-miao-shi-15,https://www.zhihu.com/people/wei-miao-shi-15,欢迎投稿，展现新教育的实力与魅力，反击各种心机黑、无脑黑 ~,1435,1,28,15,⚠️ 是 (频繁攻击),[answer] 你眼中的清一新教育和今日学堂？: 为山长当年做生意时，会遇到很多骗子，被一些人骗了之后，山长就很想 | 了之后，山长就很想找到如何识破骗子的方法。山长说，他认为这个世界 | 难道我曾经相信的东西，原来都是骗人的？！再叠加青春期逆反，本来就 || [article] 清一新教育  |  顶着“天下第一”的盛名，就一定是一所好学校吗？—— 今日塾到底是一所什么样的学校？: 神依然在她身上燃烧，只要有机会上擂台打锦标赛，她就会非常开心。今年 | ，不吃不喝了。 但她还是坚持要上擂台——原来是为了兑现跟学生重返擂 | 实：新教育既不是骗子，也没有在吹牛；新教育学生要上名校，不是高攀 || [article] 慧心黑关课总结（下）：佛陀悟到了“色即是空”，为什么不坐化圆寂？开悟的人生与无明的人生有什么不同？: 代圣贤都加以印证过，肯定不会是骗人的。所以，要是能够领悟到，一定 || [article] 清一新教育 | 海底捞打工日记：职场小白勇闯深水江湖: 非常不值得尊重，那就是没钱还爱吹牛X的客人。 有一天，一个客人来 | 他坐着的时间里 ，一直要拉着人吹牛X。据此，我个人推测，这人是没 | 子，所以来海底捞找找面子， 吹吹牛X。最后，此人因为一直没钱买单 || [article] 清一新教育 | 本周清粉文章精选（9.21-9.27）——头条：精英和牛马有何不同？: 物？还有第三种选择是什么？ 被诈骗、被收割、被榨干……牛马的命运
过俊杰,guo-jun-jie-65-74,https://www.zhihu.com/people/guo-jun-jie-65-74,入世修道,829,0,45,8,⚠️ 是 (频繁攻击),[article] 清一新教育| 高级财富课上的“思维炼金”: ，你吸引来的往往不是成功，而是骗子——因为骗子最擅长包装“看上去 | 往往不是成功，而是骗子——因为骗子最擅长包装“看上去很美”的捷径 || [article] 学习心得#6 一滴番茄酱引发的【与神对话】: 教与你们的相悖，你们就会称它为邪教。如果有某个想法与你们相左，你 || [article] 学习心得#3  热爱错误，拥抱神的信息: 、也正在被利益集团收割注意力、洗脑，其实内心并不喜悦。所以要拒绝 || [pin] 想法_2070142366871303659: 训练就自动有成果吗？我想这是在忽悠人，就像幻想躺床上就可以拿到世 || [pin] 想法_1909530875755987159: 实我写日记的核心目标就是“自我洗脑” —— 把《与神对话》中对我
陶梦泽,91-49-70-20-89,https://www.zhihu.com/people/91-49-70-20-89,云梦掌中小，武陵花处迷。暝还归骑下，萝月映深溪。,262,5,0,0,否,
守望者,zhivh8zilf,https://www.zhihu.com/people/zhivh8zilf,,254,15,74,72,⚠️ 是 (频繁攻击),[answer] 传销犯变身「国学大师」创办如是书院暴力管教孩子，浙江开启调查，这个书院为啥能横行多年？反映出哪些问题？: 传销犯变身「国学大师」创办如是书院 || [answer] 清一新教育｜当你走入新教育，人生有哪些收获？: 会、反人性、无合法注册、摧残、洗脑、言论控制、网络暴力、个人崇拜 | 以培训班、疗愈等名义非法集会、洗脑、敛财、非法利益输送。 | 。 近两年从发展来看，愈来愈有邪教的特征。包括“反社会、反人性、 || [answer] 你心目中的魔教是什么样子的？: 会、反人性、无合法注册、摧残、洗脑、言论控制、网络暴力、个人崇拜 | 谣。 知乎平台上就有一个：清一邪教。 | 言论控制、网络暴力、个人崇拜、敛财、造谣。 知乎平台上就有一个： || [answer] 清一义塾～采用低价招生策略和三年免淘汰机制，是否构成对外围学堂的不正当竞争？: 、与体制对接等等，仅仅守着清一邪教道路的学堂注定走向消亡，这才是 || [answer] 接受张清一先生免费供养的学生们，你拿什么来回馈恩人？请在此处留贴，说说你收获的喜悦和成长？: 收获的喜悦和成长？ 在张清一和邪教女教母的眼里，“供养”是和施舍
小王,44-38-5-63-41,https://www.zhihu.com/people/44-38-5-63-41,职业打假20年，只做正确的事,8,1,0,0,否,
行云流水,97-69-19-5,https://www.zhihu.com/people/97-69-19-5,,119,7,2,23,⚠️ 是 (频繁攻击),[answer] 清一新教育明志塾怎么样？: 清一新教育明志塾怎么样？ 非法办学机构，属于被张健柏淘汰的仍然执 || [answer] 那个很高调宣扬自己是传武实战第一人的牛保国，为什么不敢答应逸尘的挑战，这是什么原因？: 这是什么原因？ 他二十多年不断吹牛，除了鼓了自己的钱包，耽误了无 | 能摆擂台，要不然真的会像雷雷和马保国那样被揍得狼狈不堪，就像201 || [answer] 如何评价以张健柏为首，英子为打手的境外反动邪教组织。？: 健柏为首，英子为打手的境外反动邪教组织。？ 不用评价，只要在中文 || [article] 蠢粉的逻辑: 灵）反目才说出某人的人格分裂和骗子一枚的真相。至于每一件事有没有 | 些在国外上学的孩子，父母被老张忽悠把孩子从国外弄回来上学的有几个 || [pin] 想法_2069893530512798052: 用证据用法律消灭以教育为名的邪教团体。
chedaka,zhou-jian-fu,https://www.zhihu.com/people/zhou-jian-fu,,31,13,0,0,否,
箴茅,50-36-55-23-76,https://www.zhihu.com/people/50-36-55-23-76,打假清一邪教,121,1,15,18,⚠️ 是 (频繁攻击),"[answer] 有亲历者，客观地谈谈你了解的清一新教育吗？: 度堪比街头卖完大力丸就跑的江湖骗子。 李敖要是活着，大概会这么说 | 其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。 | 海版传销”，后者是“本土封闭版传销”。 老板分别是张清一（张健柏 || [article] 张清一山长十大""反常识""，凑齐一套能去天桥说相声: 郎""。 江湖传言徐晓东曾把传武假大师轰出门。张清一比那些挨揍的""太 | 传武假大师轰出门。张清一比那些挨揍的""太极大师""高明之处，在于他 | 太极大师""高明之处，在于他不必上擂台——他筑了座文辞戏台，自己扮山 || [article] 张大仙与刘半仙: 以孩童为质，以理想为饵，行盘剥诈骗之实？今日在下之言语，或逆耳， | 充作尔等的肉盾！此非教育，此乃邪教！此非育人，此乃毁人！利用孩童 | 育'？分明是拿孩童前程，做尔等敛财的赌注！"" 刘半仙急道：""你这 || [article] 怎么看“清一新教育”和最近翻车的“如是书院”？一张画皮，两套马甲，同一套收割逻辑: 度堪比街头卖完大力丸就跑的江湖骗子。 “这哪是教育？这是把你的孩 | 其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。 | 海版传销”，后者是“本土封闭版传销”。 老板分别是张清一（张健柏 || [article] 怎么判断灵修班的“臣服”是让你自由，还是在给你洗脑？看完这篇少交几十万智商税: “臣服”是让你自由，还是在给你洗脑？看完这篇少交几十万智商税 答 | 你“臣服于我（导师）”的，全是邪教雏形；只有教你“臣服于当下”的 | 来越依赖某人、越来越没钱，那是传销。 千万别搞反了。任何让你下跪"
来时路,v4m5qh,https://www.zhihu.com/people/v4m5qh,,85,2,0,2,⚠️ 是 (频繁攻击),[pin] 想法_1934888108635174416: 174416 一个需要让女学生上擂台，用血肉之躯来为自己“证明清白 || [pin] 想法_1931363379601180223: 23 额，还是别这么绝对吧，被洗脑的人也是受害者    说说，你
红太阳,38-80-49-72-61,https://www.zhihu.com/people/38-80-49-72-61,,1,0,0,0,否,
德鲁伊,deluyi-6-91-4,https://www.zhihu.com/people/deluyi-6-91-4,,120,10,17,12,⚠️ 是 (频繁攻击),[answer] 传销头目出狱办「国学书院」体罚学生，此类机构为何屡禁不止？: 老挝，继续干起来非法办学和玄学诈骗的勾当！ | 传销头目出狱办「国学书院」体罚学生 | 现在跑到了境外老挝，继续干起来非法办学和玄学诈骗的勾当！ || [article] 清一新教育|“清一义塾”对外话术与现实的极致反差: 差异进行对比看一看着背后的收割套路吧。 一、 宣传：公益义塾、低 | 务团队，纯粹家长社群，没有商业套路，家长互相扶持成长。 现实反差 || [article] 老挝琅南塔省人民法院商业法庭判决执行日子里回忆那名9岁女孩的血书: 局面，与张校长刘某夫妻长期自我神化密不可分。张校长曾在公开场合多 || [article] 输不起系列之五：陆鸽、冯月茹在本次马来西亚泰拳世锦赛的参赛身份打假: 真实信息，请仔细辨别，谨防上当受骗！ || [article] 某教主用苏辙《老子解》出题授课的套路预告: 制造认知自卑-->闭环传播循环洗脑 ”的老套路中去了。 最后，引 | 教主用苏辙《老子解》出题授课的套路预告 作为一个古文读书爱好者， | 用苏辙《老子解》用于国学教育的套路。 首先，我们去了解北宋大家苏
再也不见,20-14-28-60,https://www.zhihu.com/people/20-14-28-60,请关注事件本身,95,6,0,16,⚠️ 是 (频繁攻击),[answer] 传销头目出狱变「国学大师」开书院，虐待学员被刑拘，暴露了哪些问题？: 传销头目出狱变「国学大师」开书院， | 至默许极端管教。 三、给家长的避雷建议 核实资质：查询民政局、教 || [answer] 传销犯变身「国学大师」创办如是书院暴力管教孩子，浙江开启调查，这个书院为啥能横行多年？反映出哪些问题？: 割、隐蔽的监管套利与严密的组织洗脑共同作用的结果。 翻看资料，总 | 区。 · 组织严密，复刻传销式洗脑：通过没收手机、身份证切断外界 | 传销犯变身「国学大师」创办如是书院 || [answer] 张清一的清一圈都是采取了哪些风险隔离措施，来确保其在历次危机中都能平稳度过危机并且发展壮大？: --- 法律与政策风险隔离：因非法办学多次被取缔，多次搬迁，根据内部 | 治”，曾经的校长黄小燕声明反对非法办学，实现创始人与学校的物理及法律 || [pin] 想法_2074133485158143075: 谤罪：通常为“自诉案件”，需被害人自己向法院起诉。但若“严重危害 || [pin] 想法_2073795790762525791: 要来源。 而新教育圈孩子被深度洗脑，他们还有能力对老师，对家长产
Bxzx,bao-xian-chao-shi-18765752931,https://www.zhihu.com/people/bao-xian-chao-shi-18765752931,,111,90,8,38,⚠️ 是 (频繁攻击),[answer] 张清一的清一圈都是采取了哪些风险隔离措施，来确保其在历次危机中都能平稳度过危机并且发展壮大？: 击！ 现在又跑东南亚，重复国内套路！ 撒谎+正面对抗+游击战术 || [answer] 什么样的人会做到毫无保留的去完成每一件事？: 毫无保留的去完成每一件事？ 被洗脑的人才可以 || [answer] 什么样的人会做到毫无保留的去完成每一件事？: 毫无保留的去完成每一件事？ 被洗脑的人才可以 || [answer] 普通人遭遇电商虚假宣传，证据齐全却拿不到赔偿，维权真的只有靠打官司吗？: 普通人遭遇电商虚假宣传，证据齐全却拿不到赔偿，维权真 || [answer] 报名了培训机构并上了课还可以退钱吗？: 报名了培训机构并上了课还可以退钱吗？ 你买了衣服穿烂了能退吗？
冯敬东,feng-jing-dong-39,https://www.zhihu.com/people/feng-jing-dong-39,创造真正的我,2388,106,51,14,⚠️ 是 (频繁攻击),[answer] 世界运动会使用中国传武的刘晓慧夺得 48 公斤级女子泰拳冠军，这有哪些重要意义？: 还问当地人，海灯大师的一指禅是骗人的吗？ 我总觉得，拳理说的有道 | 很合拍。 那么多人，中国人都是骗人的？ 出了那么多事，我始终不愿 | 多事，我始终不愿意相信内家拳是骗人的。 所以，山长说练太极，武夺 || [answer] 进了个股票群，这些都是骗子吗？: 进了个股票群，这些都是骗子吗？ 百分之九十九九九八十一的 || [answer] 胡锡进炒股，他说只要我不卖股票，就不会被割韭菜，这句话有没有道理呢？: ，他说只要我不卖股票，就不会被割韭菜，这句话有没有道理呢？ 有些道 || [article] 【转】熊杰，金桔乡杀人事件: 分裂。 田叔告诉我，熊杰和别人吹牛，说，他开千人大课，百人大课， | 人都忘记了，熊杰的身份，来磨丁诈骗之前，他首先杀人了。 你们很多 | 他的说法。 现实是，他杀人，他诈骗，他每一次的念头都是想如何获得 || [article] 清一新教育 | 高级财富课第一课: 终都会亏损。谁教技术分析谁就是骗子。 三，基本面分析。以企业为对
心教育,chen-miao-fen-59-54,https://www.zhihu.com/people/chen-miao-fen-59-54,关注学习清一新教育，做源头智慧的搬运工。,2384,81,1444,10,⚠️ 是 (频繁攻击),[answer] 鸡同鸭讲是一种什么样的体验？: 的特色，适不适合用这些老掉牙的套路语言来表达，要不要去说那么多废 || [answer] 如何辟谷？ 求辟谷的相关经验分享: 崇拜。这些人扮演高人，来配合你演戏，满足众生的妄念和需要，其实也 | 的“大师”。其实不是别人有什么神功，而是自己本来就有这个“神力” || [answer] 如何评价《卧虎藏龙》？: 会做事，而且很不“懂事”，只会吹牛，是超级自恋的表现；儒家不管别 | 他，只会笑话他是一个疯子，是个吹牛大王，爱作秀的虚伪之徒。真正做 || [answer] 请问可以推荐一下女性题材电影吗？: 的做事，而且一定要真诚，绝不能骗人，我们这边最不能接受虚伪的人。 | 能拿着这个牌子去混日子、到外面忽悠人， 而必须很踏实、很低调的做 || [answer] 有哪些小众且精彩的武侠电影？: 》进行对比。让我进一步了解了真假武术之间的区别和自己武学思维的局限 | 种拳的。那么，为什么在国内遍地假武术和冒牌大师的情况下，像山长这样 | 爱好者一样，天天梦想着练成盖世神功，殊不知完全走错了路。而 山长
王小花,92-33-68-79,https://www.zhihu.com/people/92-33-68-79,清一新教育终身学习和跟随者、服务者,130,0,31,5,⚠️ 是 (频繁攻击),[article] 清一新教育｜爱是一种宝贵的能力: 的能力才配拥有婚姻和后代，免得害人害己。 || [article] 清一新教育｜财商课第一天收获: 。 金钱人格和财富思维： 金钱骗子人，财富毁灭人格，消费者，一直 || [article] 清一新教育｜我眼中的清一山长: 听邻居说起的，我觉得这怕不是个骗子，我邻居怎么看着好像被洗脑了一 | 是个骗子，我邻居怎么看着好像被洗脑了一样，说她是清粉，而且她很多 || [pin] 想法_2061807713508766551: 713508766551 熊杰诈骗犯！熊杰杀人犯！恶人应该得到应 || [pin] 想法_2056097894734751496: 4751496 熊杰黄小燕是大骗子！熊杰黄小燕是诈骗犯！ | 杰黄小燕是大骗子！熊杰黄小燕是诈骗犯！
罗红梅,xi-yun-91-1,https://www.zhihu.com/people/xi-yun-91-1,清一新教育践行者,429,0,41,0,否,
FAFN,fafa-54-68-60,https://www.zhihu.com/people/fafa-54-68-60,,99,3,2,29,⚠️ 是 (频繁攻击),[answer] 清一 山长?为什么关注不了了?: 山长?为什么关注不了了? 大忽悠的账号名字是： 「山长 清一」 | 一 山长?为什么关注不了了? 大忽悠的账号名字是： 「山长 清一」 || [answer] 请问有人了解，张清一和今日学堂吗，怎么样？: 育圈子就是邪教 关键是您们圈地自嗨，自产自销不行吗？非得出来祸害 | 上中学(不是衡中)，结果家长被洗脑之后就把孩子弄成这样了，他本人 | 时间，也就是那时候小 被已经被洗脑的父母忽悠进去了 现在已经出来 || [article] 岳不群的幻影基金会到底存在过吗？: ”。原来真相是--她是绿茶，是骗子，是贪婪的不可救药的人(要用她 || [article] 知友说资本家的故事很精彩。剧本可以拍成20集。继续向下写: 不爱钱的”。 第二，单纯善良，洗脑洗的彻底，觉得资本家的平台最美 || [pin] 想法_2072610530674619852: ，不做产检，自己接生！再给信徒洗脑：如果因为相信了山长出了事情， | 30674619852 老脏的邪教推行无脑在家生娃，不做产检，自
爱丽丝泡泡,zhou-ying-82-53,https://www.zhihu.com/people/zhou-ying-82-53,,22,9,0,1,否,[pin] 想法_1936478951980643669: 被迫服从集体意志。 📌假性改善误导：孩子因恐惧表现出短暂服从，家
覺清,jue-qing-27-81,https://www.zhihu.com/people/jue-qing-27-81,知行合一，学习者到行动者，索求者到付出者,217,75,267,16,⚠️ 是 (频繁攻击),[answer] 如何建立自身的信念?: 难接受真正的教育。但人很容易被忽悠和欺骗！也许，人就是喜欢自己骗 || [answer] 想要相对系统地了解道德自然主义，该读些什么书呢？: 不是为了买东西，而是看他们怎么骗人的”。 广告和营销“挖空心思， || [answer] 躺平真的会毁掉年轻人吗？: 亲不理解自己，自己学习其实也是忽悠母亲……即使留学，也不会去学习 || [answer] 三河市广告牌风波说明了什么？: 次上面能够收到的估计只剩下彼此忽悠的冷冰冰的“收到”二字…… 但 || [answer] 《摔跤吧！爸爸》里有哪些细节让你感触很深？: 两个女儿语言上的攻击，打起来却打不过，可能在家他爸妈的模式也是如此
涤尘,charlychy,https://www.zhihu.com/people/charlychy,上班只为与社会连接，对社会有贡献；,122,0,7,3,⚠️ 是 (频繁攻击),[article] 鉴别真假股神精简版，及商学院值得去吗？: 明其真实的投资能力和投资实力。嘴炮谁都会，模拟仓和手工账本与真实 || [article] 清一山长所在的新教育圈一直以来股神倍出，那该怎样鉴别真假呢？: 明其真实的投资能力和投资实力。嘴炮谁都会，模拟仓和手工账本与真实 | 来投资失败，被股东和跟随者追着退钱还钱，股市号称重仓其实只有少量 | 脸。        另外，因为误导投资一些小市值股票，让一些无脑 || [pin] 想法_1887205907651343747: ，和尚，尼姑，方士或各类教派、邪教与神棍专职人员）。存在即合理， | ，尼姑，方士或各类教派、邪教与神棍专职人员）。存在即合理，没有贬 | 理，没有贬低他们的意思，这里面敛财圣手不少。因为社会上总有些人需
宋传军,yu-shi-ju-jin-38-37,https://www.zhihu.com/people/yu-shi-ju-jin-38-37,老老实实做事、做人,110,5,1,1,否,[article] 张清一是“骗子”还是导师？: 在观望，看看这个清一山长会怎么吹牛，反正对我也没多大损失。 | 张清一是“骗子”还是导师？ 五年时间验证“骗 | 子”还是导师？ 五年时间验证“骗子”        2012年的
紫陌红尘,72-48-82-10,https://www.zhihu.com/people/72-48-82-10,,45,6,1,4,⚠️ 是 (频繁攻击),[answer] 请问有人了解，张清一和今日学堂吗，怎么样？: 人的地方，特别是经过山长高大上洗脑式的营销，让人觉得不上新教育就 | 都是“大饼”所迷惑，只是因为被洗脑，自身都不是专业的老师，纯属散 || [answer] 今日学堂、新教育、清一大学少年班，家长认为怎么样？有家长的声音吗？: 深受其害，山长个人以教育为名，敛财上亿，找各种噱头作为营销手段， | 个人利益，希望不要再有家长上当受骗，也希望有关教育部门彻查 || [answer] 清一大学究竟是一所什么样的大学？: 英，天天鼓吹的精英教育，真的是敛财的手段，希望不要再有人被蒙蔽了 | 一所什么样的大学？ 现在很多被忽悠的人慢慢的在觉醒，新教育快二十 || [answer] 今日学堂，怎么样？有经历吗？: 人的地方，特别是经过山长高大上洗脑式的营销，让人觉得不上新教育就
小知求学,he-zhen-77-79,https://www.zhihu.com/people/he-zhen-77-79,教师,7,1,0,0,否,
AndyEnder,andyender,https://www.zhihu.com/people/andyender,,1,1,0,0,否,
