用户昵称,url_token,主页链接,累计真实攻击言论数,是否多帖持续恶意黑号,涉及核心指控维度,核心攻击言论原句记录
自知者明,ren-zai-lu-tu-46-66,https://www.zhihu.com/people/ren-zai-lu-tu-46-66,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 忽悠 || [评论区(楼中楼)] 如何了现在
海 CHike,23-58-54-11,https://www.zhihu.com/people/23-58-54-11,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(主评)] 我是今日学堂西语班的学生，我真心的建议您，新教育不是什么好地方 || [评论区(楼中楼)] 服了我真的
心悦诚服,16-4-75-36-33,https://www.zhihu.com/people/16-4-75-36-33,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 所说英语也只是听说是不完整学习，没有写。 || [评论区(楼中楼)] 光有理念，不落地。孩子大的家长内心会非常焦虑。
好吧,yang-guang-32-19-17,https://www.zhihu.com/people/yang-guang-32-19-17,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(主评)] 清一圈子里面，除了清一山长算成功的，还有谁成功了，有谁做出什么杰出的成就？ || [评论区(楼中楼)] 你说的应该是wxy吧，从法院出来辞职办学堂，跟着山长炒股，应该是亏的一塌糊涂，好好的工作也丢了[doge]
心兰如慧,beauty-wish,https://www.zhihu.com/people/beauty-wish,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 我觉得我这没参加的都受益啦！这参加了也不能保证立马成仙，必经修之于身还是要有过程的 || [评论区(楼中楼)] 如医生开药，你不按方子抓药，说医生水平太有限
玉米,86-81-58-53-17,https://www.zhihu.com/people/86-81-58-53-17,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,"[评论区(楼中楼)] 那这个孩子可能是自己不想提升
跟新教育无关 || [评论区(楼中楼)] 这才是真正的新教育
我就是新教育的学生
希望你的孩子越来越好"
英俊叔,ying-jun-shu-80,https://www.zhihu.com/people/ying-jun-shu-80,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 骗子李清一又来忽悠了
不见子都,peng-bao-sheng-a,https://www.zhihu.com/people/peng-bao-sheng-a,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 看了这文章，感觉跟传销洗脑差不多，最无语的就是加大运动量然后又吃素食，还就一个清蒸素菜，主食为主，运动完本就应该多补充蛋白质，他这光补充碳水化合物了，难怪那么多
chedaka,zhou-jian-fu,https://www.zhihu.com/people/zhou-jian-fu,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 您这属实被坑的有点惨，我算是07-08年接触过一段世界，那是他还叫张健柏，也主要听他讲道德经，偶尔练练拳。后来和这个群里还保留着若有若无的接触。不过，当张健柏爆
德鲁伊,deluyi-6-91-4,https://www.zhihu.com/people/deluyi-6-91-4,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[回答正文] 知乎上这个叫“清一新教育”的，二十年了被官方不断取缔，现在跑到了境外老挝，继续干起来非法办学和玄学诈骗的勾当！
冯敬东,feng-jing-dong-39,https://www.zhihu.com/people/feng-jing-dong-39,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,"[专栏文章] 我们都想活的明白一点，任何好书都是让人更明白的。好电影同样。
十年前，刚刚股市投资挣了些钱，研究股市股票累了以后，为了调剂学习，换一下脑子。
也是由于独立投资，"
心教育,chen-miao-fen-59-54,https://www.zhihu.com/people/chen-miao-fen-59-54,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,"[专栏文章] 作者：今日学堂 宋晓莉（宋明觉）老师
时间：丙申2016年12月16日
本文为转载，接下来两天更一回
我为什么17年来，一直跟随张老师？
17年来，我的身份不断"
罗红梅,xi-yun-91-1,https://www.zhihu.com/people/xi-yun-91-1,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 亲，原来我曾经的分享像是被洗脑的样子，哈哈。。那我以后尽量像个正常人去分享[大笑]
爱丽丝泡泡,zhou-ying-82-53,https://www.zhihu.com/people/zhou-ying-82-53,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 以前被忽悠得他说啥都对…现在可知道了，得长800个心眼子看他的东西
覺清,jue-qing-27-81,https://www.zhihu.com/people/jue-qing-27-81,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,"[评论区(主评)] #挪用和贪污善款#山长是不可能做这样的事情的，相信清黑乱说的这些话，不是傻子就是骗子。
这种自尊尊人的人不会傻到干这种事情[大笑]打新这种博傻的游戏山长都不参与"
涤尘,charlychy,https://www.zhihu.com/people/charlychy,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[专栏文章] 前几天，太太将两个新教育圈投资人分享的心得转给我，希望我在投资上好好学习，不断精进。言外之意，你看他们短短十年不到都是几十倍，百倍甚至万倍的收益，你这都好几年了
宋传军,yu-shi-ju-jin-38-37,https://www.zhihu.com/people/yu-shi-ju-jin-38-37,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,"[专栏文章] 五年时间验证“骗子”
       2012年的时候，为了给孩子最好的教育，我到处寻找教育“秘方”。看到很多教育专家的理论都觉得很有道理，什么“爱与自由”、什么"
紫陌红尘,72-48-82-10,https://www.zhihu.com/people/72-48-82-10,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 我不是清黑，孩子也没上过新教育，只是身边很多家长经历了新教育，现在孩子无路可走，才逐渐看清这是一个骗局，只是想提醒各位家长，不要拿孩子的前途去赌，骗局都是一环扣
小知求学,he-zhen-77-79,https://www.zhihu.com/people/he-zhen-77-79,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 你这个只是听说，清一真是个懂教育懂投资的怪才，很少人能望其背。
Yeonjun,xiao-mi-zi-10-84,https://www.zhihu.com/people/xiao-mi-zi-10-84,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 同意，刚出来，被搞走的
azqz,azqz,https://www.zhihu.com/people/azqz,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 张健柏树立的典型很多都不成功，吹过了。
缘来,23-72-20-62,https://www.zhihu.com/people/23-72-20-62,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 人活着，无财不足以养道！😁🙏
白冰,wan-ke-89,https://www.zhihu.com/people/wan-ke-89,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 醉了，你们孩子都不要正经学历了？读这玩意儿？
宁静,5-81-82-2,https://www.zhihu.com/people/5-81-82-2,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 他们的英语成绩也很差，这么多年今日本部只有3个人sat考到1400多，都是他们自吹自擂英语有多好的。他们还只学英语一个学科，每天学很多小时，都只有这点成绩。完全
聪明的笨笨,cong-ming-de-ben-ben-47,https://www.zhihu.com/people/cong-ming-de-ben-ben-47,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 人家受益也是真实的，我们全家也很受益
所谓高人皆为凡人,charly-53-8,https://www.zhihu.com/people/charly-53-8,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 说得很棒，科技、服务和生活确实主打一个蹭，不躬身入局；赚钱主打一个在金融市场躺赚（山长自己的说法），至于钱是从培训课赚的还是股市赚的，靠猜。
九尾小七,94-30-61-28,https://www.zhihu.com/people/94-30-61-28,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 最可恨的是还帮着骗子骗别人！
刘晓红,she-de-wu-wei-zhou,https://www.zhihu.com/people/she-de-wu-wei-zhou,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 我朋友家孩子也学习两年时间了，无论是体能、心性还是学习能力都获得了巨大突破！结果最经得起检验！
恋恋,lian-lian-43-53,https://www.zhihu.com/people/lian-lian-43-53,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 我家也有两孩子废了，心痛
彷徨,pang-huang-31,https://www.zhihu.com/people/pang-huang-31,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 大哥现在你们的孩子怎样了？回学校上学了嘛？
lingling,lingling-88-43,https://www.zhihu.com/people/lingling-88-43,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 我孩子在2020/9月通过夏令营进入新教育，9岁的一位小男孩由92斤变到72斤，由原来没有目标，依赖父母，胆小，自理能力弱，自控能力弱，变为目标感强，自控能力强
宋兵乙,song-bing-yi-63,https://www.zhihu.com/people/song-bing-yi-63,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 不会说话就别说
浮萍,hu-zhi-xiong-29,https://www.zhihu.com/people/hu-zhi-xiong-29,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 别人说的好像也没错
不明真相的群众,bu-ming-zhen-xiang-de-qun-zhong-53,https://www.zhihu.com/people/bu-ming-zhen-xiang-de-qun-zhong-53,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 你家的活法伤害到一些人了。[大笑]
朵朵,duo-duo-52-41-84,https://www.zhihu.com/people/duo-duo-52-41-84,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 对于孩子以后没有学籍，在社会怎样立足， 你想过吗？我也是想让孩子走新教育这条路，目前最担心的就是孩子以后没有学籍，踏入社会后的路有些担心。
文成武德张,93-55-89-13,https://www.zhihu.com/people/93-55-89-13,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 娃今年应该14岁，现在怎样了？再过4年18岁准备怎么办？
茅箴,mao-zhen-21,https://www.zhihu.com/people/mao-zhen-21,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 骗子们早就不知什么廉耻了，要不上课问“什么是良知”[捂嘴]。骗子就一个想法，不管儿童死活，就是掏空你的口袋。
来时路,v4m5qh,https://www.zhihu.com/people/v4m5qh,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 违背法律的“良知”还能叫良知？
稀有人类,xi-you-ren-lei-21,https://www.zhihu.com/people/xi-you-ren-lei-21,1,否 (单次发帖),骗子/洗脑/割韭菜控诉,[评论区(主评)] 搞洗脑骗钱，然后跑路海外[飙泪笑]
