序号,来源形式,父级标题/问题,原帖/回答URL,言论发布者,作者UID/Token,作者主页,发布时间,点赞数,风险级别,负面分类,核心实锤摘要/引证,完整言论原文,AI人工审核结论,审核判定理由,精准分类
37,专栏文章,清一山长 我为什么这么看好您,https://zhuanlan.zhihu.com/p/1955334032284943912,冯敬东,feng-jing-dong-39,https://www.zhihu.com/people/feng-jing-dong-39,,133,MEDIUM,新教育争议/误人子弟/毁孩子/伪国学,是靠听别人说什么，你就怎么样，误导你，骗你，真是没商量。 对不对,"我们都想活的明白一点，任何好书都是让人更明白的。好电影同样。
十年前，刚刚股市投资挣了些钱，研究股市股票累了以后，为了调剂学习，换一下脑子。
也是由于独立投资，时间是大把的自由。
当时是博客时代，偶然——也是必然，因为当时被山长博客的文章吸引———看到一篇，山长推荐的250部电影。
也没有什么资源，迅雷，百度搜索。
之前看博客积累起来的对山长的好感，让我试着看起这些电影。之前看电影比较单一，这里推荐的电影，好多都是世界级的获奖电影，真的感觉是为我打开了一个全新的认知世界的角度。
一部一部的看，越看越想看，一年多的时间，我竟看了有其中的三分之二，就像山长推荐的音乐书籍一样，都让我成长很多。
（有时就想，山长推荐的都有这么多电影音乐书籍，肯定都是他看过的精品，他实际得看过多少呀？）
山长推荐的书籍（回头有时间专门总结一篇）、电影、音乐（回头也可以写写），在我看来都是世界顶级的。
再加上之前看的山长《道德经》解读，我逐渐认定山长绝对是最顶级的人物！
具体说点看电影的收获
都是非常正能量的电影，鼓励人们爱，付出，互相帮助。
也有很多直面人性的。
黑泽明导演的罗生门，是我向人推荐最多的。
故事非常简单，却拍出了人性的复杂多变，与不变。
农夫，旁观者的视角。却也不旁观，因为掺杂了他的利益，偷了现场的东西，却想隐瞒；没有勇气作证，却要显得勇敢正义。这些必然使他，隐瞒真相，编造一套符合他想隐瞒偷东西、显得自己非常正义勇敢的假故事。
每个人都一样，一带非常有名的强盗———一般的人设是，凶残，强壮，心狠手辣，仗义，武功高强等等。实际是胆怯，畏首畏尾，偷袭，惊慌失措，所以他肯定会把事实往大家都认可的人设上，歪曲。
武士，妻子，都是一样。
我们每个人都一样。
包括我自己。
我们在说事实时，多少都会往自己好的人身上靠，只是程度不同而已。
所以，两个清粉（还算不错的群体）一起经历的事，互相对起来，也是说不清楚，重叠的有三分之一就算不错了。
这当中自然有办事时，互相本来的误解。
故意的提高人设也是起了很大的作用。
这就是人性。人性就是如此！
现实社会，你去听话，去听，如此去听。。。。
好有道理，这还不是说他们想故意骗你的情况。只是一般，经常，不自然就出口的。
所以你私下里听到的，私下传的，还有几分真实？
如果你只是靠听别人说什么，你就怎么样，误导你，骗你，真是没商量。
对不对？
所以私下里，瞎传的一些事，你给我说，我基本上是，一边去。。。。
耽误时间，有意义吗？
所以 
#清黑是人生失败者
 无疑。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
38,专栏文章,"最早的山长助理，我跟随在张清
一
老师身边17年的小故事——前言",https://zhuanlan.zhihu.com/p/10329307336,心教育,chen-miao-fen-59-54,https://www.zhihu.com/people/chen-miao-fen-59-54,,65,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,因为我傻，有人说因为我被张老师洗脑了，还有人说因为我是张老师的小,"作者：今日学堂 宋晓莉（宋明觉）老师
时间：丙申2016年12月16日
本文为转载，接下来两天更一回
我为什么17年来，一直跟随张老师？
17年来，我的身份不断转变：我从学生到员工，从小职员到总经理助理，从商界到教育界，我从商人又变成了教师，从小女生长成了妻子和母亲，我从武汉跟随到了云南......
这么多年，这么多的改变，我为何从来没想过要离开张老师？
是什么东西吸引我留下这么久？
而且这个跟随的时间，看来毫无疑问会跨越20年、30年，甚至一辈子？
这么多年来，对这个问题的答案，有人说是因为我傻，有人说因为我被张老师洗脑了，还有人说因为我是张老师的小情人（幸亏我丈夫根本不相信这种鬼话）......我也一直没有机会好好的对外解释和说明。现在却发现：一些根本就不了解张老师的清黑，居然煞有介事地说，他们只需短短的几年、几个月、几次课，甚至很多人连课都没上过，只是看过他某篇文章，或者听到别人转述过他的只言片语，就一下子把张老师“看清了本质”和“骨子里面的东西”。
我不禁想：这些清黑，是不是比我的脑子要好太多了，我17年都没看看懂的事情，居然他们这么快就全部看懂了，看透了？我去看了清黑们发表的文章和发言，又哑然失笑。这群人说话颠三倒四、逻辑混乱，脑子明显没我好嘛！只是叫得欢罢了，没有什么实在的内容。我就想，是不是我该把我17年来认识到的张老师写出来。
由于我长期做过张老师身边的商务助理和教务助理，对他的公私生活，恐怕比其他所有人都了解更多。而且，我还是张老师和刘老师的牵线人呢！他们两人的第一次见面，我还是陪同。刚开始的一些故事很有趣，也很搞笑。这些故事，也许除了我以外，没人会写出来了。也许大家会有兴趣看的。下面就是我写的第一回，初见张老师。以后我有时间，会慢慢写下去的，也是对我的人生选择，做一个阶段性的总结吧!
为什么17年跟随，不离不失？
算一算跟随山长的时间，整整17年了。从大学毕业到现在，中途有很多机缘可以让我离开，但却从来没有想过要离开。比如，有所谓的好心人，劝我出去开创自己的事业；有企业的老板，想用高薪挖我去他们的公司工作；有一些家长，鼓动我开办一个学堂，他们说会把自己的孩子送进我办的学堂；有不少培训机构和新教育学堂，想要让我去做校长，或者和我一起合伙办学......所有的这些，从来没有让我产生过离开学堂的念头，包括山长也曾因为担心我和丈夫长期分居不利于维持家庭关系，劝我回归家庭，好好相夫教子，我也很认真的跟山长说：我不会走的，除非你赶我走！
那么，山长有什么样的魅力，学堂有何吸引人的地方，让我和老师们从认识山长开始，从进入学堂之后，就不愿再选择离开了呢？
目录
第一回 结缘山长
一、传说中的儒商
二、记者站实习见闻
三、遇见山长
心教育：传说中的山长 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第二回 认识山长
一、一个才华横溢的老板
二、樱花节，大刀向鬼子们的胶卷砍去
三、一个不像老板的老板
四、武汉电器行业中的另类：一个从不找情人的老板
心教育：一个特例独行的老板 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第三回 深入接触（上）
一、独特的试用期考核——专业考试
二、洞察秋毫，整治公司试用期的潜规则16
三、亏本生意开心做：“进口CD机只售99元”的玄机18
四、老师的贴心改造：脱掉了“心爱”的高跟鞋，我变成了“女侠”
心教育：试用期的挑战与成长 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第三回 深入接触（下）
五、任人唯贤，资历为本事让路
六、从未出过国的老板，却奖励员工豪华出国游
七、春节公司不打烊，员工放假老板守店
八、管工作还管学习，学习还能拿奖金，你见过这样的企业吗？
九、远离低俗，追求有品味的人生：今日电器带给我的古典音乐熏陶
心教育：从实习生到销售冠军 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第四回 培养员工（上）
心教育：来自金钱的考验 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第四回 培养员工（下）
一、为员工制定职业规划
二、公司福利：让员工入股，一起分享公司的成长
三、进阶学习：中层干部是怎样炼成的？
心教育：从员工到股东 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第五回 外人眼中的张老师（上）
一、把店开到乡下
二、你是张老板的亲戚吧？
三、世上本无事，庸人自扰之
心教育：最早的山长助理，我跟随在张清一老师身边17年的小故事
第五回 外人眼中的张老师（中）
一、做人最大的失败是信用的破产
二、老师的商业新创意
心教育：诚信、创新与团队精神 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第五回 外人眼中的张老师（下）
一、为网店学开车44
二、这是做生意必须支付的成本
心教育：从学车到管理网店 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第六回 人生学习的根本，超卓的商业布局
一、为什么修心是人生学习的根本
二、为什么要开创三足鼎立的商业局面
心教育：迈向人生巅峰的关键 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第七回 小偷眼中的敬畏之人
心教育：如何应对小偷？ | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第八回 保姆身边的贴心老板
心教育：老板与老师的双重角色 | 最早的山长助理，我跟随在张清一老师身边17年的小故事
第九回 失信的冠军教练
心教育：和“白眼狼”的故事 | 最早的山长助理，我跟随在张清一老师身边17年的小故事",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
40,评论区(主评),清一新教育｜我眼中的清一山长,https://zhuanlan.zhihu.com/p/1976306686198321468,罗红梅,xi-yun-91-1,https://www.zhihu.com/people/xi-yun-91-1,2025-11-26 06:24:03,0,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,论 亲，原来我曾经的分享像是被洗脑的样子，哈哈。。那我以后尽量像,亲，原来我曾经的分享像是被洗脑的样子，哈哈。。那我以后尽量像个正常人去分享[大笑],🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
42,评论区(楼中楼),吃水埋了挖井人？张健柏先生，十年清一新教育基金，该晒晒结果了,https://zhuanlan.zhihu.com/p/1932801543318505280,FAFN,fafa-54-68-60,https://www.zhihu.com/people/fafa-54-68-60,2025-07-28 22:03:20,0,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,前一句“投入教育不为赚钱”！ 忽悠善良的清粉做炮灰时，就说后一句,"脏山长说啥，需要服务于他的目的：想挑拨清粉，就林妹妹上身委屈状，胁迫“捆绑”清粉写“买家秀”小文章时，就说前一句“投入教育不为赚钱”！
忽悠善良的清粉做炮灰时，就说后一句“投股市早发财了”。
准备开“财富傻猫课”时，就说我老婆刘cun大神是十几亿大富婆。
分散到股市里十几亿，
隐藏的其他“篮子”里的鸡蛋不止这点哈[赞]",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
43,评论区(楼中楼),吃水埋了挖井人？张健柏先生，十年清一新教育基金，该晒晒结果了,https://zhuanlan.zhihu.com/p/1932801543318505280,爱丽丝泡泡,zhou-ying-82-53,https://www.zhihu.com/people/zhou-ying-82-53,2025-07-28 23:22:16,0,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,，该晒晒结果了】的评论 以前被忽悠得他说啥都对…现在可知道了，得,以前被忽悠得他说啥都对…现在可知道了，得长800个心眼子看他的东西,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
45,评论区(主评),"清一山长
 是最有原则性的人",https://zhuanlan.zhihu.com/p/1960081531264569577,覺清,jue-qing-27-81,https://www.zhihu.com/people/jue-qing-27-81,2025-10-11 09:37:47,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,清黑乱说的这些话，不是傻子就是骗子。 这种自尊尊人的人不会傻到干,"#挪用和贪污善款#山长是不可能做这样的事情的，相信清黑乱说的这些话，不是傻子就是骗子。
这种自尊尊人的人不会傻到干这种事情[大笑]打新这种博傻的游戏山长都不参与，他更不可能做明显错误的事情",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
46,专栏文章,"清一山长
所在的新教育圈一直以来股神倍出，那该怎样鉴别真假呢？",https://zhuanlan.zhihu.com/p/1884172709195388396,涤尘,charlychy,https://www.zhihu.com/people/charlychy,,67,HIGH,假武术/无实战能力/花架子、骗子/圈钱/洗脑/割韭菜/套路、新教育争议/误人子弟/毁孩子/伪国学,明其真实的投资能力和投资实力。嘴炮谁都会，模拟仓和手工账本与真实 | 来投资失败，被股东和跟随者追着退钱还钱，股市号称重仓其实只有少量 | 脸。        另外，因为误导投资一些小市值股票，让一些无脑,"前几天，太太将两个新教育圈投资人分享的心得转给我，希望我在投资上好好学习，不断精进。言外之意，你看他们短短十年不到都是几十倍，百倍甚至万倍的收益，你这都好几年了，也没见你翻个倍（虽然去年收益都快赶上某人的总资产了，但毕竟离翻倍差老远，太太不满也正常）。
       我知道，她是想报一箭之仇，挽回些颜面。几年前，她被清一新教育圈的U兄关善祥（大家自己去查证，已成名人了），号称的十年万倍收益吸引，执意要拿一百万去买他的基金，被我坚决制止。后来U兄的基金亏损得破产清盘本人身死（真死假死未知），新教育圈投资他基金的家庭血亏得一地鸡毛。她庆幸不已的同时，总觉得失了些颜面。
       我抱着学习的心态，认真看了下这两人的投资历程，简述总结如下：
       XXX：
       1，从2014年4万起步，中途再入金2万，到2016年，投资收益翻了7倍，到40多万。这中间2015年年    中开始大盘连续跌停，并持续暴跌腰斩，几乎无损失。
       2，2021年到2024年，几年不到，从60万，投资收益翻了7倍，到400万。
       十年时间，接近50倍的收益，厉害不？确实厉害。
       据他自己的描述，主要靠学习山长、黄老师（经查该老师其实近年来投资失败，被股东和跟随者追着退钱还钱，股市号称重仓其实只有少量持仓在港股中小银行，主要投资中小城市房地产法拍房被套牢，网上公开可查可追溯）和卢老师（不详），靠自己写写代码和研究的两个指标，跟着山长赌国运，加上走了狗屎运才赚到的。并且提出，愿意分享给有缘人（是不是言外之意是要成立自己的基金，类似U兄，不得而知）。
       这是不是有网上各种广告卖炒股软件和指标的即视感？这些都不敢夸耀几年几倍的收益。这个方式不靠谱，在投资界早为共识。
       另外一个，总结一下他的要点：靠跟着山长对宏观大势的分析，每次都精准抄底和逃顶，操作简直封神，然后赚了不菲的收益。
       这两位仁兄可能不知道，山长赌国运的标的组合到现在都在雪球上挂着呢（从2017年到现在负44%收益，主要重仓有破产了的原中国华融等）。所以不要轻易宏大叙事搞什么赌国运，容易被打脸。
       另外，因为误导投资一些小市值股票，让一些无脑跟随者受伤不浅（如退市的老千股江南集团等等），加上很多专业投资者的质疑，清一山长的雪球账号都被众人举报后雪球官方封号了。
       那有没有十年几十倍收益的呢？非常罕见，我只见过一个公开公布十年二十倍的，再多的真没见过（该投资者完全公开自己的持仓和交易流水，才让大家信服）。投资厉害的大牛最多十年十倍，一般能够达到十年3倍5倍的都是非常了不起的。大家以这个常识去判断不会错。真正投资能够赚 的基本上都来自于坚实的行业、公司和商业分析。搞指标，看趋势，巴菲特早就告诉过不靠谱。如果这个可行，只要每天能赚一个百分点，一万的本金不到四年你就可以收益上亿。据我所知，地球上还没有出现过这样的人。
       新教育圈是个盛产股神的地方，U兄关善祥、山长都是被粉丝们号称拿着几万或几十万本金十年或者二三十年就获得上亿收益的。如今又有这几位，粗看下来，十年投资收益几十倍的人。这些是否真实可信，请按照我上面提供的常识和小学数学进行判断推演，真假自然可见。
       如果还是被各种眼花缭乱的操作文字吸引，真要跟随这些大牛投资，或者把资金交给他管理，请先严格进行鉴定鉴别，方法也很简单。就像我曾经制止太太投资U兄一样，要求鉴别真实性：
       1、提供持仓、完整出入金记录和号称收益多少倍的交易流水截图记录；注意要是主资金仓位，小资金不算。
       2、更严格些，要提供证券公司盖章的持仓文件、资金流水文件、股票交易交割文件。这个在全球都是可以作为资产证明的。买过房或者抵押贷款过的人都清楚这点。
       这些东西，尤其是证券公司提供的盖章文件，一般很难作假，作假也容易被发现。如果以十年跨度来要求提供的这些数据都提供不了，那就无法证明其真实的投资能力和投资实力。嘴炮谁都会，模拟仓和手工账本与真实交易尤其是大额资金的真实交易是完全不同的，不能作数。
      一般这个时候这些大牛会恼羞成怒（我后来质疑的言论被直接被删和拉黑）。甚至有的股神可能会说原来的证券公司倒闭了被熬垮了，没这些东西。其实我告诉你，证券公司倒了，其交易数据会在国家证券交易所，并会安排随账户转移到新的证券公司，所以不存在没数据这个问题。
       毕竟你要将钱交给他打理了，或者跟随他投资了，还是要慎重再慎重，你说呢？希望大家不要再踩这些“股神”的坑了。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
47,专栏文章,张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,宋传军,yu-shi-ju-jin-38-37,https://www.zhihu.com/people/yu-shi-ju-jin-38-37,,162,HIGH,假武术/无实战能力/花架子、骗子/圈钱/洗脑/割韭菜/套路,在观望，看看这个清一山长会怎么吹牛，反正对我也没多大损失。 | 张清一是“骗子”还是导师？ 五年时间验证“骗 | 子”还是导师？ 五年时间验证“骗子”        2012年的,"五年时间验证“骗子”
       2012年的时候，为了给孩子最好的教育，我到处寻找教育“秘方”。看到很多教育专家的理论都觉得很有道理，什么“爱与自由”、什么“素质教育”，并且花了大量的时间和精力去学习过。但是好像这些理论对我和我的孩子帮助并不大。
       机缘巧合下，一个网友给我推荐了“教育张清一”的新浪博客，博客里展现出今日学堂孩子的教学成果深深震撼了我。14岁的小女孩写出的文章比大人还好、14岁的孩子辩论战胜了名校大学生和博士生、十几岁的大孩子教十岁左右的小孩子四个月突破英语等教学成果简直太神奇了，但这是不是作假呢？我和大多数人一样，抱着看热闹的心态一直在观望，看看这个清一山长会怎么吹牛，反正对我也没多大损失。
       直到2016年底，我在杭州看了一场今日学堂英语突破班的分享会。在现场我看了令人惊讶的表演，只学了4个月英语的10岁孩子，全程可以用流畅的英语进行表演，同时做中文演讲也很有深度。如果只是学习表现好也就罢了，他们运动能力还特别强，很多高难度的垫上运动，让人眼花缭乱。这些孩子们表现出来的精神面貌让人一看就非常喜欢。他们个个精神饱满、神采飞扬，完全没有压抑或者厌学的情绪。看的出来，他们是真心喜欢学习，而不是被压迫、被压抑的去学习。
       我再也无法淡定了，我觉得这就是我想要的教育，我赶紧回家告诉老婆这个好消息，我告诉她，不加入这样的新教育，真的是我们家的损失。为了打消老婆的疑虑——担心表演的学生只是筛选出来的，我又带老婆去上海参加了一次分享会，让老婆现场见证今日新教育的神奇，可以批量培养出卓越的孩子。在得到老婆的支持下，2017年暑假我们顺利把大女儿送到了今日新教育的一家外围学堂学习。
                                          一人进入新教育，全家一同齐受益
       自从女儿进入新教育学堂，我们家对新教育的理解更加深刻。原来始终搞不懂，新教育到底是用什么方式来培养孩子。近距离接触后才知道，是通过运动与做事来磨练孩子的心性、培养孩子的能力，从而实现对孩子精神品质的提升。
       就拿运动来说吧，不仅我们的孩子因为运动，精神面貌和身体健康得到了改善，我和我爱人的健康也发生了翻天覆地的变化。那时单位组织体检，我的身体没有什么大毛病，就是有一些常见的富贵病。像高血脂，脂肪肝，肾结晶我都没有落下。
      在学习的山长《体育是精英教育的核心》后，我们家也和孩子一起运动起来。平常工作比较忙，我们全家（除了在学堂的女儿）就坚持每周去爬山徒步。坚持一年后，我参加了本地社会组织的一次跨年百公里毅行徒步。第1次参加没有什么经验，但是我也走了令我自己惊讶的距离——74公里。第2年也就是2018年，我和朋友们一起练跑步，练了半年以后轻松突破半马。2019年元旦，我和伙伴们再次参加行者俱乐部举办的环巢湖百公里毅行，我历时28小时顺利完成。
       自此以后，我们家节假日不是在徒步，就是在去跑步的路上，每天早上赖床的习惯也在被晨跑或者徒步替代。我和妻子的身体状况越来越好，我的高血脂、脂肪肝以及肾结晶，在不知不觉中消失了。而我老婆的很多衣服也在不知不觉中大了一圈，没法穿了，她们单位很多20岁的小年轻都羡慕她的苗条身材。
       2019年10月国庆，我们全家一起参加了环巢湖4天3夜168公里毅行。
      2021年元旦，我们全家在合肥参加行者俱乐部组织百公里毅行。我和不到12岁的女儿，冒着-10~1摄氏度的低温，用时29小时完成百公里。连9岁不到的儿子也跟着我们走了85公里。
      在这些看似“无用”的徒步运动中，孩子们除了锻炼出卓越的体能，自信与坚毅品质被悄悄的磨练出来，然而这些都是看不见的成果。现在我的孩子以考入今日学堂为目标，立志做最好的中国人。
      对了，我还看到网上有些人说清一山长开收费课程，就是在骗钱敛财。恰好我也上过山长的收费课程——财富课。我只知道我自从2019年辞职以后，我的生活费、我孩子上新教育学堂的学费以及我上山长的课程费，都跟着山长学投资赚回来了。
      清一山长是不是别人说的骗子？我用9年时间验证，他不仅不是骗子，还是给我教育方法、投资方法以及指导我成长的导师。这样的“骗子”，天下哪里去找？！
      我叫宋传军，欢迎大家和我一起践行新教育，做最好的中国人，成就更好的自己。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
48,评论区(主评),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,紫陌红尘,72-48-82-10,https://www.zhihu.com/people/72-48-82-10,2023-01-11 09:53:18,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 我不是清,我不是清黑，孩子也没上过新教育，只是身边很多家长经历了新教育，现在孩子无路可走，才逐渐看清这是一个骗局，只是想提醒各位家长，不要拿孩子的前途去赌，骗局都是一环扣一环，没有一个实现的，据新教育内部爆料，有一部分孩子严重抑郁，希望可以帮助大家，不要再沉迷于此,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
49,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,小知求学,he-zhen-77-79,https://www.zhihu.com/people/he-zhen-77-79,2023-12-06 12:05:06,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 你这个只,你这个只是听说，清一真是个懂教育懂投资的怪才，很少人能望其背。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
50,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,AndyEnder,andyender,https://www.zhihu.com/people/andyender,2024-06-17 10:17:10,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 所有教育,所有教育形式都有抑郁的[尴尬],🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
51,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,自知者明,ren-zai-lu-tu-46-66,https://www.zhihu.com/people/ren-zai-lu-tu-46-66,2025-09-19 14:41:47,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 忽悠 | 是“骗子”还是导师？】的评论 忽悠,忽悠,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
52,评论区(主评),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,海 CHike,23-58-54-11,https://www.zhihu.com/people/23-58-54-11,2023-01-17 22:44:38,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 我是今日,我是今日学堂西语班的学生，我真心的建议您，新教育不是什么好地方,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
53,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,Yeonjun,xiao-mi-zi-10-84,https://www.zhihu.com/people/xiao-mi-zi-10-84,2023-02-07 22:07:29,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 同意，刚,同意，刚出来，被搞走的,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
54,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,海 CHike,23-58-54-11,https://www.zhihu.com/people/23-58-54-11,2023-02-12 08:03:58,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 服了我真,服了我真的,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
55,评论区(主评),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,香雪莲,chu-xue-hou-sheng,https://www.zhihu.com/people/chu-xue-hou-sheng,2022-09-04 03:59:27,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 您可能还,您可能还沉浸在自我陶醉之中，我朋友孩子也在里面学习，其实除了他说的体能和英语外，基本没啥可吹嘘的。说句实话我孩子也一直学英语，他引以为自豪的英语根本就好不了我孩子多少，至于其他学科，可以用一塌糊涂来形容。我建议你和身边同龄孩子对比一下，你一定会失望，每个孩子都是可塑之才，关键看自己怎么教育。从综合来说体制内的孩子远远优于清一山长的办学。他的学校根本比不了其他私人学校。您现在学了五年，再过五年您一定把肠子悔青，因为孩子的一生，被你耽误了。这个清一山长并非善类，只是你们太善良了。不要相信包裹钻石的垃圾，要理智，就像有的家长所说，时间会说明一切，只要不是自欺欺人，我也赞同这个说法。希望您理智一点，也希望您再过五年，能够现身说法，实事求是，也算是做功德。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
56,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,楠楠,jian-dan-xiao-yu-21,https://www.zhihu.com/people/jian-dan-xiao-yu-21,2023-02-22 11:55:49,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 肯定不同,"肯定不同啊 
公立学校招聘也有门槛 
有教育局各部门来出力
难道这些人都是不干活的吗
私立学校 国际学校里面发花钱招的都是傻子吗
还有国家拨款
别的不说
张清一的理念再好
也没有这个资金
这个风控能力去实现
更不用说数学 理化生到了高年级
哪里是跟随他的不对口的985本科就能教好的
更不用说他还要办大学！大学学什么？
无经验 不对口 没指导 没继续教育
却要打赢
所以他把数理化砍了
也蹭可汗的课程 
这样他也不用引进什么人才
更何况 他的理念就是对的？
那些研究教育理念的人都是傻子？",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
57,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,心悦诚服,16-4-75-36-33,https://www.zhihu.com/people/16-4-75-36-33,2024-01-19 00:27:27,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 所说英语,所说英语也只是听说是不完整学习，没有写。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
58,评论区(楼中楼),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,心悦诚服,16-4-75-36-33,https://www.zhihu.com/people/16-4-75-36-33,2024-01-19 00:29:00,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 光有理念,光有理念，不落地。孩子大的家长内心会非常焦虑。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
59,评论区(主评),张清一是“骗子”还是导师？,https://zhuanlan.zhihu.com/p/352573221,好吧,yang-guang-32-19-17,https://www.zhihu.com/people/yang-guang-32-19-17,2021-11-21 12:30:46,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,关于文章【张清一是“骗子”还是导师？】的评论 清一圈子,清一圈子里面，除了清一山长算成功的，还有谁成功了，有谁做出什么杰出的成就？,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一是“骗子,骗子/洗脑/割韭菜控诉
